HET,count
LAB,1362
TLB,1360
YCP,1358
NCA,1357
MBO,1356
MNH,1356
GGL,1355
MFD,1350
IHS,1342
ONM,1336
MIX,1336
ZMR,1334
BYN,1334
CXE,1332
HAO,1329
SUE,1326
BAP,1324
ZBR,1323
SHW,1320
SXR,1320
DMA,1319
PGD,1316
PHD,1308
QUI,1305
RIB,1304
SYO,1300
DDQ,1296
PLR,1290
BYC,1286
SDO,1280
OEH,1278
ASN,1277
SCY,1273
VAL,1273
SNC,1272
FUA,1268
BAL,1266
MDH,1264
TZD,1263
PEU,1263
PST,1262
UED,1260
SOO,1260
HMR,1257
ASD,1252
SSU,1246
POG,1243
SRY,1241
SET,1237
CTN,1234
NOS,1233
PPZ,1232
PEX,1230
TOP,1229
CAF,1224
TOX,1224
OHT,1218
QNG,1216
CNA,1215
CFF,1212
NOV,1211
MDW,1200
KZB,1198
SCH,1197
PHB,1193
CSU,1193
PUC,1192
AVU,1190
SSA,1189
NAR,1188
AMZ,1188
DEB,1188
EFO,1176
CPH,1176
MIY,1168
HIP,1167
IAC,1166
HSX,1161
WOZ,1160
SXD,1160
ASG,1157
EGY,1156
PLS,1156
JSG,1152
KCR,1148
VFV,1148
RUB,1146
FDF,1142
ULL,1140
TDD,1140
TMO,1140
NIY,1139
MHS,1139
CFV,1138
SUZ,1136
BCO,1134
MAG,1130
GFB,1130
GST,1121
IQG,1120
QSY,1120
GXL,1119
JDP,1116
LKC,1116
ZNI,1116
LYN,1115
PSR,1112
DLU,1110
IRM,1107
NIO,1105
PNM,1104
JZF,1100
TES,1099
JPR,1098
DPP,1095
NCX,1092
EVP,1092
DHF,1090
SNN,1089
NCG,1089
IZL,1076
NCT,1076
DXE,1068
NCN,1062
GTB,1060
QSV,1060
HEH,1060
SXV,1060
ATR,1059
ASC,1053
HOB,1050
HOL,1050
SLL,1048
ACH,1046
BDM,1045
MGM,1044
SXM,1041
GCD,1038
LYA,1036
THR,1032
BFD,1032
UHB,1029
IMN,1025
AME,1024
PAL,1022
FUM,1022
IRV,1022
OXM,1022
GCU,1021
QUL,1020
RQV,1020
XAY,1020
MQE,1019
MCN,1012
DCQ,1012
PSE,1010
DUD,1008
BFC,1008
INS,1005
PZD,1000
RCO,1000
GDZ,1000
TYM,999
LDN,992
QGJ,992
EZA,990
HFK,988
DNS,986
VFE,986
TUM,981
EWS,980
KEG,980
YZT,980
IMY,972
DIF,969
CAO,968
NKP,967
CCN,966
LLL,966
